Topic,Words,Frequency,Timestamp,Name
-1,"supply, chain, ford, said, vietnam",29,2022-09-16 02:21:58.159000064,-1_said_supply_chain_new
0,"battery, supply, lithium, chain, china",11,2022-09-16 02:21:58.159000064,0_lithium_battery_minerals_supply
1,"taulia, meralco, chartered, sustainability, standard",3,2022-09-16 02:21:58.159000064,1_energy_supply_said_chain
2,"apple, iphone, india, smartphone, 14",4,2022-09-16 02:21:58.159000064,2_apple_china_iphone_india
3,"supply, business, data, risks, risk",3,2022-09-16 02:21:58.159000064,3_supply_chain_business_businesses
5,"mass, balance, bookkeeping, massbalancer, circularise",2,2022-09-16 02:21:58.159000064,5_chain_supply_solutions_logistics
6,"taiwan, vietnam, chip, china, semiconductor",2,2022-09-16 02:21:58.159000064,6_semiconductor_india_taiwan_vietnam
7,"stream, europe, nord, gas, leaks",1,2022-09-16 02:21:58.159000064,7_china_ukraine_war_military
8,"health, phale, malawi, njikho, scsa",1,2022-09-16 02:21:58.159000064,8_drug_shortages_health_drugs
9,"food, chicken, prices, price, day",2,2022-09-16 02:21:58.159000064,9_food_prices_price_supply
11,"agri, agriculture, farmers, food, startups",2,2022-09-16 02:21:58.159000064,11_food_agri_milk_farmers
12,"uranium, nuclear, china, taiwan, kazakhstan",5,2022-09-16 02:21:58.159000064,12_china_think_taiwan_chinese
13,"2026, exhibit, market, 2021, forecast",1,2022-09-16 02:21:58.159000064,13_gaap_million_market_net
14,"packaging, consulting, chain, supply, sustainable",2,2022-09-16 02:21:58.159000064,14_market_exhibit_2027_2022
15,"lumber, home, prices, price, demand",1,2022-09-16 02:21:58.159000064,15_prices_stores_walmart_price
16,"blockchain, bitcoin, technology, ledger, decentralized",1,2022-09-16 02:21:58.159000064,16_blockchain_ai_cloud_chain
-1,"benz, mercedes, supply, chain, said",10,2022-10-04 10:56:50.049999872,-1_said_supply_chain_new
0,"earth, rare, magnet, battery, magnets",3,2022-10-04 10:56:50.049999872,0_lithium_battery_minerals_supply
1,"brambles, absa, copper, african, iewc",6,2022-10-04 10:56:50.049999872,1_energy_supply_said_chain
2,"apple, vietnam, china, labour, production",2,2022-10-04 10:56:50.049999872,2_apple_china_iphone_india
3,"space, business, supply, businesses, orbit",2,2022-10-04 10:56:50.049999872,3_supply_chain_business_businesses
4,"gold, marsam, hyundai, alabama, said",5,2022-10-04 10:56:50.049999872,4_labour_said_forced_workers
5,"avetta, mckay, sales, management, andy",1,2022-10-04 10:56:50.049999872,5_chain_supply_solutions_logistics
6,"vietnam, booklets, electronics, electronic, passport",2,2022-10-04 10:56:50.049999872,6_semiconductor_india_taiwan_vietnam
7,"guam, defense, parts, island, military",1,2022-10-04 10:56:50.049999872,7_china_ukraine_war_military
8,"formula, flu, califf, cold, cnn",4,2022-10-04 10:56:50.049999872,8_drug_shortages_health_drugs
9,"sysco, food, prices, grocery, loblaw",2,2022-10-04 10:56:50.049999872,9_food_prices_price_supply
11,"fertiliser, food, payment, tirlán, farmers",2,2022-10-04 10:56:50.049999872,11_food_agri_milk_farmers
12,"china, chip, subsidies, chips, taiwan",1,2022-10-04 10:56:50.049999872,12_china_think_taiwan_chinese
14,"packaging, compostable, market, foodservice, 2022",1,2022-10-04 10:56:50.049999872,14_market_exhibit_2027_2022
15,"price, prices, stores, inflation, merchandise",3,2022-10-04 10:56:50.049999872,15_prices_stores_walmart_price
-1,"sic, igbt, lidar, supply, suppliers",13,2022-10-22 10:53:22.100000000,-1_said_supply_chain_new
0,"lithium, sizzle, critical, european, solar",10,2022-10-22 10:53:22.100000000,0_lithium_battery_minerals_supply
1,"gas, umc, guyana, oil, local",4,2022-10-22 10:53:22.100000000,1_energy_supply_said_chain
2,"apple, galaxy, s23, iphone, china",8,2022-10-22 10:53:22.100000000,2_apple_china_iphone_india
3,"supply, dropshipping, chain, business, chains",3,2022-10-22 10:53:22.100000000,3_supply_chain_business_businesses
4,"lewis, douglas, labour, workers, forced",5,2022-10-22 10:53:22.100000000,4_labour_said_forced_workers
5,"tcc, logistics, coupa, supply, dhl",3,2022-10-22 10:53:22.100000000,5_chain_supply_solutions_logistics
7,"korea, china, economic, security, korean",1,2022-10-22 10:53:22.100000000,7_china_ukraine_war_military
10,"oct, halloween, com, according, release",1,2022-10-22 10:53:22.100000000,10_vegan_grocery_said_food
11,"food, utp, supplier, buyer, payment",1,2022-10-22 10:53:22.100000000,11_food_agri_milk_farmers
13,"acm, gaap, income, non, net",2,2022-10-22 10:53:22.100000000,13_gaap_million_market_net
14,"market, global, panel, transition, saudi",1,2022-10-22 10:53:22.100000000,14_market_exhibit_2027_2022
15,"inflation, prices, volcker, little, bit",4,2022-10-22 10:53:22.100000000,15_prices_stores_walmart_price
